"System","Rendszer"
"Your Checkout Progress","Vásárlási folyamat"
"Name", "Név"
"Account", "Fiókom"
"Cart", "Kosár"
"Search entire store here...", "Keresés a webáruházban"
"Register", "Regisztráció"
"Color:", "Szín:"
"Size:", "Méret:"
"Description", "Termék információk"
"Reviews", "Vélemények"
"Details", "Részletek"
"Occasion", "Viselet"
"Sleeve Length", "Ujjhossz"
"Length", "Hossz"
"Bag & Luggage Type", "Táska típusa"
"Decor Type", "Dekoráció"
"Electronic Type", "Digitális eszköz"
"Fit", "Stílus"
"format", "Típus"
"Home & Decor Type", "Otthoni dekoráció"
"Material", "Anyag"
"Shoe size", "Cipőméret"
"Shoe type", "Cipő"
"Returning Customers", "Visszatérő vásárló"
"Sign in to speed up your checkout process", "Ha már regisztrált webáruházunkban, kérjük jelentkezzen be!"
"Register and Checkout", "Regisztráció és vásárlás"
"Checkout Progress", "Vásárlási folyamat"
"Street Address 2", "Második cím"
"Add gift options", "A terméket ajándékba adom"
"Cash On Delivery", "Átvételkor"
"My Wishlist", "Kívánságlistám"
"Required Fields", "Kötelező mezők"
"New Here?", "Még nem regisztrált?"
"Already registered?", "Már regisztrált?"
"Forgot password", "Elfelejtett jelszó"
"Click for price", "Kattintson az árért"
"View Shopping Cart", "Kosaram"
"There are no products matching the selection", "A kiválasztott kategóriában jelenleg nincsenek termékek"
"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s sikeresen hozzáadva a kívánságlistához. Kattintson <a href=""%2$s"">ide</a> a vásárlás folytatásához"
"%1$s has been added to your wishlist. Click <a href="%2$s">here</a> to continue shopping.", "%1$s sikeresen hozzáadva a kívánságlistához. Kattintson <a href=""%2$s"">ide</a> a vásárlás folytatásához"
"Share Wishlist", "Kívánságlista megosztása"
"Share your Wishlist", "Kívánságlista megosztása"
"Your Wishlist has been shared.", "A kívánságlistád sikeresen megosztásra került"
"All fields are required", "A csillaggal jelölt mezők kitöltése kötelező!"
"My Wishlist (%d item)","Kívánságlistám (%d)"
"My Cart","Kosaram"
"My Cart (%s item)","Kosaram (%s)"
"My Cart (%s items)","Kosaram (%s)"
"%s item(s)", %s termék"
"Maximum number of characters:", "Maximális karakterszám:"
"Cash On Delivery ", "Fizetés átvételkor készpénzben"
"Cash On Delivery", "Fizetés átvételkor készpénzben"
"Your password reset link has expired.", "Lejárt jelszóváltoztatási kérelem"
"Forgot Your Password", "Elfelejtett jelszó visszaállítása"
"Currently Shopping by:", "Jelenlegi kiválasztás:"
"Please specify the product's option(s)", "Ez egy konfigurálható termék - kérjük válasszon a lehetőségek közül!"
"Please specify the product's option(s).", "Ez egy konfigurálható termék - kérjük válasszon a lehetőségek közül!"
"Compare Products", "Összehasonlítás"
"Special Price", "Speciális ár"
"Description", "Termékleírás"
"Short Description", "Rövid termékleírás"
"Color", "Szín"
"There are no products found on compare list.", "Nincsenek termékek az összehasonlító listán."
"Print", "Kinyomtatom"