"e.g. domain.com/blog/identifier","ugy mint  domain.com/blog/azonosito"
"Hidden pages won't be shown in blog but still can be accessed directly","Hidden pages won't be shown in blog but still can be accessed directly"
"* Required Fields","* Kötelező mezők"
"Action","Esemény"
"Add Category","Kategória hozzáadása"
"Add Comment","Comment hozzáadása"
"Add Post","Bejegyzés hozzáadása"
"Advanced Options","Még több lehetőség"
"Advanced Post Options","Még több bejegyzés lehetősége"
"If enabled, all comments appear immediately without admin approval.","If enabled, all comments appear immediately without admin approval."
"An error occured. Please try again","Hiba történt kérem próbálja meg később"
"Approve","Approve"
"Approved","Approved"
"Are you sure?","Biztos benne?"
"Auto Approve Comments","Auto Approve Comments"
"Blog Comment Manager","Blog Komment Manager"
"Blog Manager","Blog Manager"
"Blog Post Manager","Blog Post Manager"
"Blog Post Options","Blog Post Beállítások"
"Blog Settings","Blog Beállítások"
"Blog Title","Blog Címe"
"Blog","Blog"
"blog","blog"
"Bookmark with","Bookmark with"
"By","általa:"
"Category: ","Kategória: "
"Categories","Kategóriák"
"Category Comment Manager","Kategória komment manager"
"Category does not exist","A kategória nem létezik"
"Category Information","Kategóri információk"
"Category Manager","Kategória Manager"
"Category","Kategória"
"Change status","Státusz módosítása"
"click here","kattintson ide"
"Comment Information","Komment lehetőségek"
"Comment Manager","Komment Manager"
"Comment Submitted","Komment elküldve"
"Comment was approved","Komment jóváhagyva"
"Comment was successfully deleted","Komment sikeresen törölve"
"Comment was successfully saved","Komment sikeresen elmentve"
"Comment was unapproved","Komment elutasítva"
"Comment","Komment"
"Comments are Closed for this post","Nem lehet kommentelni ehhez a bejegyzéshez"
"Comments are not enabled.","Komment nincs engedélyezve ezen az oldalon."
"Comments per Page","Komment per oldal"
"Comments","Kommentek"
"comments","kommentek"
"Content","Tartalom"
"Created at","Készítve"
"Created on","Készítés napja"
"Created","Készítve"
"CSV","CSV"
"Date Format","Dátum formátum"
"Default Posts Sorting","Alapértelmezett bejegyzés sorrend"
"Delete Category","Kategória törlése"
"Delete Comment","Komment törlése"
"Delete Post","Bejegyzés törlése"
"Delete","Törlés"
"Description","Leírás"
"Disabled","Letiltva"
"Disabling will close the post to new comments","Letiltással lezárod a további kommentek lehetőségét"
"Duplicate Post","Post duplikálása"
"Edit Category  '%s'","Kategória '%s' szerkesztése"
"Edit Comment By '%s'","Komment szerkesztve '%s' által"
"Edit Post '%s'","Bejegyzés szerkesztése '%s'"
"Edit","Szerkeszt"
"Must NOT contain any slashes. ""news"" makes the blog accessible from domain.com/news. Leave blank for default value.","Must NOT contain any slashes. ""news"" makes the blog accessible from domain.com/news. Leave blank for default value."
"Email Address","E-mail cím"
"Email Sender","Email küldő"
"Email Template","Email template"
"Email","Email"
"Enable Blog RSS Feed","Blog RSS Feed engedélyezése"
"Enable Categories Menu","Kategória menü engedélyezése"
"Enable Comments","Komment engedélyezése"
"Enable Footer Link","Lábléclink engedélyezése"
"Enable Left Menu","Bal oldali menü engedélyezése"
"Enable ReCAPTCHA","ReCAPTCHA engedélyezése"
"Enable Right Menu","Jobb menü engedélyelzése"
"Enable Top Link","Felsőmenü link engedélyezése"
"Enable","Engedélyez"
"Enabled","Engedélyezve"
"Error during generation sitemap","Hiba az oldaltérkép generálása közben"
"Frequency","Gyakoriság"
"Full","Teljes"
"Go to <a href=""http://www.google.com/recaptcha/whyrecaptcha"">http://www.google.com/recaptcha/whyrecaptcha</a> to get keys","Go to <a href=""http://www.google.com/recaptcha/whyrecaptcha"">http://www.google.com/recaptcha/whyrecaptcha</a> to get keys"
"Google Sitemap","Google oldaltérkép"
"Hidden","Elrejt"
"Home","Főoldal"
"ID","ID"
"Identifier","Azonosító"
"If enabled, additional ""Short Content Field"" is taken instead of truncated main post.","If enabled, additional ""Short Content Field"" is taken instead of truncated main post."
"Keywords","Kulcsszavak"
"Latest Posts","Utolsó bejegyzések"
"Leave blank to use current user name","Leave blank to use current user name"
"Link to Post","Bejegyzés link"
"Logged in Auto Approve Comments","Logged in Auto Approve Comments"
"Login Required to Comment","A kommentáláshoz be kell jelentkeznie"
"Long","Hosszú"
"Magento Blog extension by","Magento Blog megoldás által"
"Medium","Közepes"
"Menus and Links","Menük és linkek"
"Meta Data","Metaadatok"
"Meta Description","Meta leírás"
"Meta Keywords","Meta kulcsszavak"
"Name","Név"
"Newer Posts","Newer Posts"
"Newest first","Legújabb az első"
"No Posts in this Category.","Nincs bejegyzés ebben a kategóriában."
"No","Nem"
"Number of characters in a post to be displayed before it is truncated and the Read More link is added. 0 for unlimited.","Number of characters in a post to be displayed before it is truncated and the Read More link is added. 0 for unlimited."
"Number of post to display in the RSS feed.","RSS feedbe megjelenő bejegyzések száma"
"Older first","Legrégebbi az első"
"Older Posts","Régebbi bejegyzések"
"Only comments added by logged in users will be approved automatically","Only comments added by logged in users will be approved automatically"
"Page Layout","Page Layout"
"Parse CMS Tags in Post Contents","Parse CMS Tags in Post Contents"
"Please select categories","Please select categories"
"Please select comment(s)","Please select comment(s)"
"Please select post(s)","Please select post(s)"
"Please use only letters (a-z or A-Z), numbers (0-9) or symbols '-' and '_' in this field","Please use only letters (a-z or A-Z), numbers (0-9) or symbols '-' and '_' in this field"
"Position","Position"
"Post does not exist","Post does not exist"
"Post Identifier already exist.","Post Identifier already exist."
"Post Identifier cannot consist only of numbers.","Post Identifier cannot consist only of numbers."
"Post information","Post information"
"Post Information","Post Information"
"post was successfully deleted","post was successfully deleted"
"Post was successfully deleted","Post was successfully deleted"
"Post was successfully saved","Post was successfully saved"
"Post","Bejegyzés"
"Posted in","Készítette"
"posted on","Készítés ideje"
"Posted","Készítve"
"Poster","Készítő"
"Posts per Page","Bejegyzések per oldal"
"Posts","Bejegyzések"
"Post Title","Bejgyzés címe"
"Price","Ár"
"Priority","Prioritás"
"Read More","Még több"
"ReCAPTCHA Private Key","ReCAPTCHA Private Key"
"ReCAPTCHA Public Key","ReCAPTCHA Public Key"
"ReCAPTCHA","ReCAPTCHA"
"Recent Posts","Legutóbbi bejegyzések"
"Related post","Hasonló bejegyzések"
"Relative to current skin directory, e.g. images/rsslogo.jpg","Relative to current skin directory, e.g. images/rsslogo.jpg"
"Return to","Vissza a"
"Route to Blog","Blog útvonala"
"RSS Feed Image","RSS Feed kép"
"RSS Feed","RSS Feed"
"RSS Posts to Show","RSS bejegyzések mutatása"
"Save And Continue Edit","Mentés és szerkesztés folytatása"
"Save Category","Kategória mentése"
"Save Comment","Komment mentése"
"Save Post","Bejegyzése mentése"
"Send Emails to","E-mail küldése"
"Short Content","Rövid tartalom"
"Short","Rövid"
"Show Bookmarks in Lists","Könyvjelzők mutatása a listában"
"Show Bookmarks in Posts","Könyvjelzők mutatása a bejegyzésekben"
"Show Breadcrumbs","Morzsszemek mutatása"
"SKU","Cikkszám"
"Sort Order","Rendezés"
"Status","Státusz"
"Store View","Bolt nézet"
"Submit Comment","Komment beküldése"
"Summary Character Count","Summary Character Count"
"Tagged with "%s"","Címkézve ezzel "%s""
"Tags to Display","Címkék mutatása"
"tags","címkék"
"Tags","Címkék"
"Tags: ","Címkék: "
"The number of recent post to be displayed in the menu. 0 to disable.","The number of recent post to be displayed in the menu. 0 to disable."
"The number of tags to display in tag cloud. 0 disables tag cloud","The number of tags to display in tag cloud. 0 disables tag cloud"
"The number of posts displayed per page. Set 0 to disable pagination.","The number of posts displayed per page. Set 0 to disable pagination."
"The requested page could not be found","The requested page could not be found"
"Title","Cím"
"Total of %d comment(s) were successfully approved","Total of %d comment(s) were successfully approved"
"Total of %d comment(s) were successfully unapproved","Total of %d comment(s) were successfully unapproved"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find category to save","Unable to find category to save"
"Unable to find comment to save","Unable to find comment to save"
"Unable to find post to save","Unable to find post to save"
"Unapprove","Elutasít"
"Unapproved","Elutasítva"
"Updated at","Frissítve ekkor"
"Use Categories ID in Posts URLs","Mutasd a kategória azonosítót a bejegyzések URL címeiben"
"Use Short Content Field","Használd a rövid tartalom mezőt"
"Use comma as separator","Használd a vesszőt elválasztáshoz"
"User","Felhasználó"
"Valid values range from 0.0 to 1.0","Érvényes értékek 0.0 és 1.0 között"
"View","Nézet"
"Written by: ","Írta: "
"XML","XML"
"Yes, all pages","Igen  minden oldalt"
"Yes, only blog page","Igen, csak a blog oldalt"
"You must be logged in to comment.","Be kell jelentkezned a kommentáláshoz"
"You must be logged in to post a comment.","Be kell jelentkezned a hozzászóláshoz."
"Your comment has been submitted and is awaiting approval.","A hozzászólásod elküldése sikeres, adminisztrátori jóváhagyásra vár."
"Your comment has been submitted.","Hozzászólása sikeresen elküldve"
"Your Recaptcha solution was incorrect, please try again","Your Recaptcha solution was incorrect, please try again"
"Added by","Cikk írója"